ticker,symbol_yf,company_name,listing_date,shares_outstanding,board,status,sector
BJTM,BJTM.JK,Bank Pembangunan Daerah Jawa T,12 Jul 2012,14865343101,Utama,active,
BKDP,BKDP.JK,Bukit Darmo Property Tbk,15 Jun 2007,7513992252,Pemantauan Khusus,special_monitoring,
BKSL,BKSL.JK,Sentul City Tbk.,28 Jul 1997,167708902705,Utama,active,
BKSW,BKSW.JK,Bank QNB Indonesia Tbk.,21 Nov 2002,34806467881,Pengembangan,active,
BLES,BLES.JK,Superior Prima Sukses Tbk.,08 Jul 2024,8890206400,Pengembangan,active,
BLOG,BLOG.JK,Trimitra Trans Persada Tbk.,10 Jul 2025,3379487200,Utama,active,
BLTA,BLTA.JK,Berlian Laju Tanker Tbk,26 Mar 1990,25940187103,Pemantauan Khusus,special_monitoring,
BLTZ,BLTZ.JK,Graha Layar Prima Tbk.,10 Apr 2014,873937142,Pemantauan Khusus,special_monitoring,
BLUE,BLUE.JK,Berkah Prima Perkasa Tbk.,08 Jul 2019,418000000,Pengembangan,active,
BMAS,BMAS.JK,Bank Maspion Indonesia Tbk.,11 Jul 2013,17921635680,Pengembangan,active,
BMBL,BMBL.JK,Lavender Bina Cendikia Tbk.,11 Jan 2023,1030080995,Akselerasi,active,
BMHS,BMHS.JK,Bundamedik Tbk.,06 Jul 2021,8603416176,Utama,active,
BMRI,BMRI.JK,Bank Mandiri (Persero) Tbk.,14 Jul 2003,92399999996,Utama,active,
BMSR,BMSR.JK,Bintang Mitra Semestaraya Tbk,29 Des 1999,1159200024,Pengembangan,active,
BMTR,BMTR.JK,Global Mediacom Tbk.,17 Jul 1995,16583997586,Utama,active,
BNBA,BNBA.JK,Bank Bumi Arta Tbk.,01 Jun 2006,3354120000,Pengembangan,active,
BNBR,BNBR.JK,Bakrie & Brothers Tbk,28 Agt 1989,173416832509,Pengembangan,active,
BNGA,BNGA.JK,Bank CIMB Niaga Tbk.,29 Nov 1989,24890783784,Utama,active,
BNII,BNII.JK,Bank Maybank Indonesia Tbk.,21 Nov 1989,75357433911,Utama,active,
BNLI,BNLI.JK,Bank Permata Tbk.,15 Jan 1990,35819545925,Utama,active,
BOAT,BOAT.JK,Newport Marine Services Tbk.,12 Nov 2024,3501680000,Pengembangan,active,
BOBA,BOBA.JK,Formosa Ingredient Factory Tbk,01 Nov 2021,1155750000,Pengembangan,active,
BOGA,BOGA.JK,Apollo Global Interactive Tbk.,19 Des 2016,3803526210,Pengembangan,active,
BOLA,BOLA.JK,Bali Bintang Sejahtera Tbk.,17 Jun 2019,6000000000,Utama,active,
BOLT,BOLT.JK,Garuda Metalindo Tbk.,07 Jul 2015,2343750000,Pengembangan,active,
BOSS,BOSS.JK,Borneo Olah Sarana Sukses Tbk.,15 Feb 2018,1400000000,Pemantauan Khusus,special_monitoring,
